,State,Total_Offenses_Society,Animal_Cruelty,Drug_Narcotic_Offenses,Gambling_Offenses,Pornography_Obscene_Material,Prostitution_Offenses,Weapon_Law_Violations,Population_Covered,Total_Offenses_Property,Arson,Bribery,Burglary_Breaking_Entering,Counterfeiting_Forgery,Destruction_Damage_Vandalism,Embezzlement,Extortion_Blackmail,Fraud_Offenses,Larceny_Theft_Offenses,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Total_Offenses_Person,Assault_Offenses,Homicide_Offenses,Human_Trafficking_Offenses,Kidnapping_Abduction,Sex_Offenses,Total_Offenses,Crime_Rate_Total,Crime_Rate_Property,Crime_Rate_Society,Crime_Rate_Person,Year
24,Minnesota,38135,379,29660,26,966,103,7001,5699338.0,189416,724,5,14430,4017,35062,197,205,22930,88623,14562,3996,4665,50619,44593,276,105,640,5005,278170,48.8074228971856,33.23473708700905,6.691127987145173,8.881557823031377,2021
25,Mississippi,20233,185,17672,20,204,33,2119,1673199.0,47697,185,5,6125,927,8779,750,53,4528,21874,3059,465,947,23436,22153,173,3,105,1002,91366,54.605578894082534,28.506471734683085,12.092405027734298,14.006702131665152,2021
26,Missouri,66992,387,55939,25,672,175,9794,5885677.0,205063,1106,10,17370,4166,40555,545,116,13960,97843,22462,3596,3334,84290,77897,641,43,966,4743,356345,60.54443694412724,34.84102168705486,11.38220802806542,14.32120722900696,2021
27,Montana,6103,153,5607,3,24,23,293,1098323.0,35096,205,2,2530,773,8147,55,5,2210,17442,2967,289,471,15993,13975,39,2,297,1680,57192,52.07211357678934,31.954170130280435,5.556653188542897,14.561290257966009,2021
28,Nebraska,16597,82,14908,0,264,58,1285,1471365.0,36284,182,6,2342,977,9922,135,130,4784,15465,1750,240,351,17001,15158,47,19,162,1615,69882,47.49467331355578,24.660094538064996,11.280001902994838,11.554576872495947,2021
29,Nevada,30287,280,21492,54,588,1915,5958,3130107.0,115149,407,18,12406,1585,21572,1172,267,13578,45412,13703,2312,2717,67066,61689,245,218,898,4016,212502,67.8896919498279,36.78756029745948,9.676027049554536,21.426104602813897,2021
30,New Hampshire,7289,167,5945,2,697,27,451,1355329.0,27923,108,3,957,629,7353,118,143,5334,11534,892,181,671,14803,12764,23,9,217,1790,50015,36.90247902907708,20.602377725260805,5.378029983863697,10.922071319952572,2021
31,New Jersey,4957,28,3497,2,24,82,1324,3844336.0,51188,93,1,3114,1245,6052,125,201,10330,23380,5079,1243,325,17728,16532,140,2,85,969,73873,19.216062279675864,13.315173283500714,1.2894294359285974,4.611459560246555,2021
32,New Mexico,8402,76,5638,0,150,22,2516,1285483.0,68916,230,38,7249,593,15760,411,91,8583,25657,7316,2029,959,28139,25449,193,12,822,1663,105457,82.03686863225728,53.61097735248152,6.536064654297256,21.889826625478516,2021
33,New York,6720,1,4826,5,137,15,1736,3719239.0,85284,394,5,5305,998,22160,25,155,10025,39528,4082,1520,1087,36803,34355,125,4,569,1750,128807,34.6326224262544,22.930497340988303,1.8068212341288097,9.895303851137289,2021
34,North Carolina,111936,574,90542,75,1820,255,18670,9859219.0,337746,1420,11,36508,4324,61076,1913,816,43312,158155,18779,5840,5592,143884,134322,1020,60,1814,6668,593566,60.204160187536154,34.25687166498685,11.353434790321627,14.593853732227675,2021
35,North Dakota,13892,119,12803,5,246,40,679,774948.0,26333,105,3,2983,579,4843,99,84,3032,11598,2085,191,731,13075,11803,28,7,116,1121,53300,68.77880838456257,33.98034448763014,17.926364091526143,16.8720998054063,2021
36,Ohio,74351,322,57367,15,1288,552,14807,10536226.0,288592,1012,18,27867,2604,60964,138,500,34274,131168,19393,6613,4041,154750,144022,842,28,1922,7936,517693,49.13457627047863,27.39045271048666,7.056701327401291,14.687422232590682,2021
37,Oklahoma,33260,194,26527,1,938,228,5372,3965482.0,150315,834,13,20469,3102,22946,1912,420,15471,64803,15256,1772,3317,62154,56383,346,27,732,4666,245729,61.9669941762439,37.905858606847794,8.38737888609758,15.673756683298526,2021
